fee_name,fee_amount,location_name
"SUBDIVISION FILING FEES (PRELIMINARY PLAT): Basic Fee, SUBDIVISION FILING FEES (PRELIMINARY PLAT): Public Improvement & Engineering Review Fee, SUBDIVISION FILING FEES (PRELIMINARY PLAT): Stormwater Engineering Review Fee, SUBDIVISION FILING FEES (PRELIMINARY PLAT): Stormwater Drainage Plan Review Fee, SUBDIVISION FILING FEES (PRELIMINARY PLAT): Unlimited Review Fee, SUBDIVISION FILING FEES (PRELIMINARY PLAT): Final Plat Fee","$400.00 for first lot, $100.00 each additional lot, Actual cost not to exceed $1,500.00 with initial deposit of $500.00, Actual cost not to exceed $1,500.00 with initial deposit of $500.00, Actual cost not to exceed $1,500.00 with initial deposit of $500.00, Actual cost with initial deposit of $1,500.00, $100.00",Champaign County
"ENGINEERING REVIEW FEES: Stormwater Drainage Plan Review fees Basic Review Fee, ENGINEERING REVIEW FEES: Stormwater Drainage Plan Review fees Unlimited Review Fee","Actual cost not to exceed $1,500.00 with initial deposit of $500.00, Actual cost with initial deposit of $1,500.00",Champaign County
"FEES AND CHARGES: Rural Home Occupation, FEES AND CHARGES: Neighborhood Home Occupation, FEES AND CHARGES: Register Nonconforming Use, FEES AND CHARGES: Certificate of Compliance, FEES AND CHARGES: Maximum Fee for any one structure (except Wind Towers or PV Solar), FEES AND CHARGES: Wind Farm Tower or Big Wind Turbine Tower, FEES AND CHARGES: Small Wind Turbine Tower: Not over 50 feet in Height, FEES AND CHARGES: Small Wind Turbine Tower: Greater than 50 feet in Height, FEES AND CHARGES: Small Wind Turbine Tower: Replacement of turbine on existing tower, FEES AND CHARGES: PV Solar Farm with not more than 7.5-megawatt nameplate rating, FEES AND CHARGES: PV Solar Farm with nameplate rating of more than 7.5 megawatts","$33.00, No Fee, $33.00, $33.00, $1,500.00, $10,000.00, $100.00, $100.00 plus $80 per 20 feet of height in excess of 50 feet, $100.00, $1,800.00/MW, $13,500.00 plus $1,260.00 for each megawatt more than 7.5 megawatts",Champaign County
"Fees for permitted wireless telecommunications facilities: new facility, Fees for permitted wireless telecommunications facilities: co-location","$4,000, $1,250",Will County
"Additional fees for applications resultant from violations","Additional 50 % of base application fee.",Will County
"Fees for the annual registration of static advertising signs","$150.00 (doubled if paid after February 1)",Will County
"Fees for the annual registration of dynamic advertising signs","$650.00 (doubled if paid after February 1)",Will County
"Permit fees for all signs","$50 plus an additional $2 per square foot of the gross surface area of the sign",Will County
"Fees for temporary use permits","$200",Will County
"Building Permit Fees: Single and two-family structures, Building Permit Fees: Additions to existing structures and accessory structures, Building Permit Fees: Swimming pools; temporary installation, Building Permit Fees: Swimming pools; permanent installation, Building Permit Fees: Commercial/Industrial (New construction and additions), Building Permit Fees: Institutional and Public Buildings (New construction and additions), Building Permit Fees: Work without a permit, Annual pool permit (temporary swimming pool), One-time permit fee (permanent pool), Application for Zoning Amendment, Special Use Permit","$0.10 per square foot up to five thousand square feet; $0.07 per square foot for each additional square foot, with a minimum fee of $50.00, $0.10 per square foot; a minimum fee of $50.00, $25.00, $50.00, $0.10 per square foot up to five thousand square feet; $0.07 per square foot over five thousand square feet; a minimum fee of $50.00, $0.07 per square foot up to five thousand square feet; $0.05 per square foot over five thousand square feet; a minimum fee of $50.00, An additional fee of $15.00 shall be charged, $25.00, $50.00, $100.00, $100.00",Salem
"Park (Detached Single-Family 3-bedroom), Park (Detached Single-Family 4-bedroom), Park (Attached Single-Family (Townhome) 2-bedroom), Park (Attached Single-Family (Townhome) 3-bedroom), Grade School (Detached Single-Family 3-bedroom), Grade School (Detached Single-Family 4-bedroom), Grade School (Attached Single-Family (Townhome) 2-bedroom), Grade School (Attached Single-Family (Townhome) 3-bedroom), High School (Detached Single-Family 3-bedroom), High School (Detached Single-Family 4-bedroom), High School (Attached Single-Family (Townhome) 2-bedroom), High School (Attached Single-Family (Townhome) 3-bedroom), Library (Detached Single-Family 3-bedroom), Library (Detached Single-Family 4-bedroom), Library (Attached Single-Family (Townhome) 2-bedroom), Library (Attached Single-Family (Townhome) 3-bedroom), City (Detached Single-Family 3-bedroom), City (Detached Single-Family 4-bedroom), City (Attached Single-Family (Townhome) 2-bedroom), City (Attached Single-Family (Townhome) 3-bedroom), Total Impact Fees (Detached Single-Family 3-bedroom), Total Impact Fees (Detached Single-Family 4-bedroom), Total Impact Fees (Attached Single-Family (Townhome) 2-bedroom), Total Impact Fees (Attached Single-Family (Townhome) 3-bedroom)","$2,735, $3,486, $1,739, $2,085, 1,775, 2,667, 268, 724, 507, 1,088, 73, 177, 121, 141, 93, 114, 125, 125, 125, 125, $5,263, $7,507, $2,298, $3,225",Darien
"Construction Cost $0.00 - $8000.00, Construction Cost $8001.00 - $15,000.00, Construction Cost $15,001.00 - $20,000.00, Construction Cost $20,000.00 - $25,000.00, Construction Cost $25,001.00 - $35,000.00, Construction Cost $35,001.00 - $50,000.00, Construction Cost $50,001.00 - $75,000.00, Construction Cost $75,001.00 - $100,000.00, Construction Cost $100,001.00 - $150,000.00, Construction Cost $150,001.00 - $200,000.00, Construction Cost OVER $200,000.00","$75.00, 150.00, 200.00, 250.00, 500.00, 750.00, 1,000.00, 1,250.00, 1,500.00, 2,000.00, 2,500.00 + $10.00 per additional $1,000.00",Darien
"Building Permit Fee: $0 - $1,000 Valuation, Building Permit Fee: $1,001 - $5,000 Valuation, Building Permit Fee: $5,001 - $10,000 Valuation, Building Permit Fee: $10,001 - $50,000 Valuation, Building Permit Fee: $50,001 - $100,000 Valuation, Building Permit Fee: $100,001 - $500,000 Valuation, Building Permit Fee: $500,001 - $1,000,000 Valuation, Building Permit Fee: $1,000,001 - $5,000,000 Valuation, Building Permit Fee: $5,000,001 - $10,000,000 Valuation, Building Permit Fee: $10,000,001 - $50,000,000 Valuation, Building Permit Fee: $50,000,001 - $100,000,000 Valuation, Building Permit Fee: $100,000,000 and over Valuation, New Single Family Dwellings and Duplexes: Finished Floor Area, New Single Family Dwellings and Duplexes: Finished Basement Area, New Single Family Dwellings and Duplexes: Unfinished Floor Areas / Basements, New Single Family Dwellings and Duplexes: Attached Garages / Carports","$32 Minimum, $32 plus $.86 per hundred or part thereof the estimated cost over $1,000. Maximum - $75, $75 plus $.58 per hundred or part thereof the estimated cost over $5,000. Maximum - $104, $104 plus $.47 per hundred or part thereof the estimated cost over $10,000. Maximum - $292, $292 plus $.39 per hundred or part thereof the estimated cost over $50,000. Maximum - $487, $487 plus $.31 per hundred or part thereof the estimated cost over $100,000. Maximum - $1,727, $1,727 plus $.29 per hundred or part thereof the estimated cost over $500,00. Maximum - $3,177, $3,177 plus $.25 per hundred or part thereof the estimated cost over $1,000,000. Maximum - $13,177, $13,177 plus $.22 per hundred or part thereof the estimated cost over $5,000,000. Maximum - $24,177, $24,177 plus $.17 per hundred or part thereof the estimated cost over $10,000,000. Maximum - $92,177, $92,177 plus $.14 per hundred or part thereof the estimated cost over $50,000,000. Maximum - $162,177, $162,177 plus $.10 per hundred or part thereof the estimated cost over $100,000,000., $0.15 / g.s.f, $0.15 / g.s.f., $0.10 / g.s.f., $0.10 / g.s.f",Bloomington
"Single Family Detached Two (2) Bedroom (2006), Single Family Detached Three (3) Bedroom (2006), Single Family Detached Four (4) Bedroom (2006), Single Family Detached Five (5) Bedroom (2006), Single Family Attached One (1) Bedroom (2006), Single Family Attached Two (2) Bedroom (2006), Single Family Attached Three (3) Bedroom (2006), Single Family Attached Four (4) Bedroom (2006), Multiple Family Zero (0) Bedroom (2006), Multiple Family One (1) Bedroom (2006), Multiple Family Two (2) Bedroom (2006), Multiple Family Three (3) Bedroom (2006)","$245.00, $360.00, $472.00, $473.00, $146.00, $250.00, $302.00, $400.00, $154.00, $214.00, $234.00, $382.00",Plainfield
"Planned Development Review Fee","$0.50 per square foot of buildable floor area",Chicago
